,prev,curr,type,n
24849733,other-search,2022_russian_invasion_of_ukraine,external,477750
24850891,other-empty,2022_russian_invasion_of_ukraine,external,272723
24850815,main_page,2022_russian_invasion_of_ukraine,link,230713
24850993,russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,102695
24848697,other-internal,2022_russian_invasion_of_ukraine,external,62001
24850183,other-external,2022_russian_invasion_of_ukraine,external,36933
24851497,ukraine,2022_russian_invasion_of_ukraine,link,29377
24849553,casualties_of_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,22133
24846521,battle_of_soledar,2022_russian_invasion_of_ukraine,link,7990
24850573,list_of_ongoing_armed_conflicts,2022_russian_invasion_of_ukraine,link,6101
24849983,volodymyr_zelenskyy,2022_russian_invasion_of_ukraine,link,5813
24851143,battle_of_bakhmut,2022_russian_invasion_of_ukraine,link,5416
24847437,wagner_group,2022_russian_invasion_of_ukraine,link,5061
24848673,2022,2022_russian_invasion_of_ukraine,link,5037
24849657,list_of_wars_involving_ukraine,2022_russian_invasion_of_ukraine,link,4549
24846935,russia,2022_russian_invasion_of_ukraine,link,4477
24850295,war_in_donbas_(2014–2022),2022_russian_invasion_of_ukraine,link,4273
24851047,world_war_iii,2022_russian_invasion_of_ukraine,link,3952
24846295,vladimir_putin,2022_russian_invasion_of_ukraine,link,3863
24848543,timeline_of_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,3758
24851339,leopard_2,2022_russian_invasion_of_ukraine,link,3555
24846297,t-90,2022_russian_invasion_of_ukraine,link,3347
24849099,amx-10_rc,2022_russian_invasion_of_ukraine,link,3145
24851337,timeline_of_the_2022_russian_invasion_of_ukraine:_phase_3,2022_russian_invasion_of_ukraine,link,2904
24847257,battle_of_donbas_(2022–present),2022_russian_invasion_of_ukraine,link,2872
24847165,ukrainian_ground_forces,2022_russian_invasion_of_ukraine,link,2510
24848077,bakhmut,2022_russian_invasion_of_ukraine,link,2242
24848283,battle_of_kyiv_(2022),2022_russian_invasion_of_ukraine,link,2231
24846741,list_of_military_engagements_during_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,2138
24850509,order_of_battle_for_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,2097
24851107,list_of_equipment_of_the_armed_forces_of_ukraine,2022_russian_invasion_of_ukraine,link,2029
24850435,prelude_to_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,2015
24850619,m142_himars,2022_russian_invasion_of_ukraine,link,1981
24846101,t-72,2022_russian_invasion_of_ukraine,link,1976
24847531,doomsday_clock,2022_russian_invasion_of_ukraine,link,1939
24850639,soledar,2022_russian_invasion_of_ukraine,link,1931
24849433,sergey_surovikin,2022_russian_invasion_of_ukraine,link,1895
24847741,valery_gerasimov,2022_russian_invasion_of_ukraine,link,1859
24846139,kyiv_offensive_(2022),2022_russian_invasion_of_ukraine,link,1833
24849067,list_of_invasions_and_occupations_of_ukraine,2022_russian_invasion_of_ukraine,link,1764
24849727,eastern_ukraine_campaign,2022_russian_invasion_of_ukraine,link,1738
24849667,russian_ground_forces,2022_russian_invasion_of_ukraine,link,1715
24850301,siege_of_mariupol,2022_russian_invasion_of_ukraine,link,1708
24846045,t-14_armata,2022_russian_invasion_of_ukraine,link,1645
24850297,battle_of_antonov_airport,2022_russian_invasion_of_ukraine,link,1614
24850137,"russian_annexation_of_donetsk,_kherson,_luhansk_and_zaporizhzhia_oblasts",2022_russian_invasion_of_ukraine,link,1608
24848073,armed_forces_of_ukraine,2022_russian_invasion_of_ukraine,link,1586
24850491,timeline_of_the_2022_russian_invasion_of_ukraine:_phase_4,2022_russian_invasion_of_ukraine,link,1575
24846839,russian_armed_forces,2022_russian_invasion_of_ukraine,link,1532
24846273,chatgpt,2022_russian_invasion_of_ukraine,link,1501
24848157,joe_biden,2022_russian_invasion_of_ukraine,link,1428
24849557,battle_of_the_svatove–kreminna_line,2022_russian_invasion_of_ukraine,link,1391
24851247,list_of_aircraft_losses_during_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,1318
24851489,post-soviet_conflicts,2022_russian_invasion_of_ukraine,link,1296
24847529,ukrainian_air_force,2022_russian_invasion_of_ukraine,link,1204
24849389,2023_brovary_helicopter_crash,2022_russian_invasion_of_ukraine,link,1200
24848915,on_conducting_a_special_military_operation,2022_russian_invasion_of_ukraine,link,1180
24849019,russian_air_force,2022_russian_invasion_of_ukraine,link,1126
24848131,donetsk_people's_republic,2022_russian_invasion_of_ukraine,link,1108
24846051,m1_abrams,2022_russian_invasion_of_ukraine,other,1085
24850089,russian_people's_militias_in_ukraine,2022_russian_invasion_of_ukraine,link,1040
24850345,southern_ukraine_campaign,2022_russian_invasion_of_ukraine,link,1039
24848329,t-80,2022_russian_invasion_of_ukraine,link,1034
24851059,eurovision_song_contest_2023,2022_russian_invasion_of_ukraine,link,1034
24846735,rishi_sunak,2022_russian_invasion_of_ukraine,link,956
24849459,capture_of_chernobyl,2022_russian_invasion_of_ukraine,link,932
24849197,denys_monastyrsky,2022_russian_invasion_of_ukraine,link,900
24846471,2022–2023_ukrainian_refugee_crisis,2022_russian_invasion_of_ukraine,link,890
24850841,2022_kherson_counteroffensive,2022_russian_invasion_of_ukraine,link,884
24848883,2020s,2022_russian_invasion_of_ukraine,link,879
24848629,bmp-3,2022_russian_invasion_of_ukraine,link,875
24849215,antonov_an-225_mriya,2022_russian_invasion_of_ukraine,link,830
24847713,liberation_of_kherson,2022_russian_invasion_of_ukraine,link,805
24847235,2022–2023_russian_strikes_against_ukrainian_infrastructure,2022_russian_invasion_of_ukraine,link,777
24850477,ramzan_kadyrov,2022_russian_invasion_of_ukraine,link,776
24847599,list_of_wars:_2003–present,2022_russian_invasion_of_ukraine,link,771
24848817,m109_howitzer,2022_russian_invasion_of_ukraine,link,760
24847813,2022_russian_mobilization,2022_russian_invasion_of_ukraine,link,754
24847493,valerii_zaluzhnyi,2022_russian_invasion_of_ukraine,link,754
24849715,makiivka_military_quarters_shelling,2022_russian_invasion_of_ukraine,link,752
24848755,wladimir_klitschko,2022_russian_invasion_of_ukraine,link,749
24846099,list_of_russian_generals_killed_during_the_2022_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,744
24850563,t-54/t-55,2022_russian_invasion_of_ukraine,link,740
24850705,z_(military_symbol),2022_russian_invasion_of_ukraine,link,726
24847661,russia–ukraine_relations,2022_russian_invasion_of_ukraine,link,720
24851043,m270_multiple_launch_rocket_system,2022_russian_invasion_of_ukraine,link,718
24850637,azov_regiment,2022_russian_invasion_of_ukraine,link,715
24848099,m777_howitzer,2022_russian_invasion_of_ukraine,link,700
24847375,m113_armored_personnel_carrier,2022_russian_invasion_of_ukraine,link,683
24848103,2022_kharkiv_counteroffensive,2022_russian_invasion_of_ukraine,link,675
24849873,nato,2022_russian_invasion_of_ukraine,link,671
24849069,battle_of_kharkiv_(2022),2022_russian_invasion_of_ukraine,link,670
24846757,russian_occupation_of_kherson_oblast,2022_russian_invasion_of_ukraine,link,648
24848027,list_of_wars_between_russia_and_ukraine,2022_russian_invasion_of_ukraine,link,641
24846535,t-64,2022_russian_invasion_of_ukraine,link,641
24851381,t-62,2022_russian_invasion_of_ukraine,link,636
24851023,february_24,2022_russian_invasion_of_ukraine,link,614
24851435,economic_impact_of_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,613
24849529,russian-occupied_territories,2022_russian_invasion_of_ukraine,link,610
24846493,battle_of_hostomel,2022_russian_invasion_of_ukraine,link,607
24850355,2026_fifa_world_cup_qualification,2022_russian_invasion_of_ukraine,link,598
24850793,mariupol,2022_russian_invasion_of_ukraine,link,596
24850649,kyiv,2022_russian_invasion_of_ukraine,link,590
24847181,war_crimes_in_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,580
24849447,vuhledar,2022_russian_invasion_of_ukraine,link,577
24848337,list_of_conflicts_in_europe,2022_russian_invasion_of_ukraine,link,574
24846181,outline_of_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,573
24848711,chernobyl_nuclear_power_plant,2022_russian_invasion_of_ukraine,link,569
24846729,boryspil_international_airport,2022_russian_invasion_of_ukraine,link,557
24850769,russian_navy,2022_russian_invasion_of_ukraine,link,553
24849755,leclerc_tank,2022_russian_invasion_of_ukraine,link,550
24846159,oleksandr_zinchenko_(footballer),2022_russian_invasion_of_ukraine,link,535
24847631,sinking_of_the_moskva,2022_russian_invasion_of_ukraine,link,534
24847999,final_fantasy_xvi,2022_russian_invasion_of_ukraine,link,526
24851089,panzerhaubitze_2000,2022_russian_invasion_of_ukraine,link,524
24848231,bucha_massacre,2022_russian_invasion_of_ukraine,link,522
24846317,t-84,2022_russian_invasion_of_ukraine,link,519
24850091,list_of_equipment_of_the_russian_ground_forces,2022_russian_invasion_of_ukraine,link,515
24850645,ak-12,2022_russian_invasion_of_ukraine,link,509
24848387,mila_kunis,2022_russian_invasion_of_ukraine,link,508
24849043,russo-georgian_war,2022_russian_invasion_of_ukraine,link,503
24849581,2023_in_ukraine,2022_russian_invasion_of_ukraine,link,497
24849117,united_states,2022_russian_invasion_of_ukraine,link,494
24851517,kadyrovites,2022_russian_invasion_of_ukraine,link,493
24849293,kherson,2022_russian_invasion_of_ukraine,link,491
24850913,russian_airborne_forces,2022_russian_invasion_of_ukraine,link,491
24850141,sergei_shoigu,2022_russian_invasion_of_ukraine,link,484
24849013,s.t.a.l.k.e.r._2:_heart_of_chornobyl,2022_russian_invasion_of_ukraine,link,481
24849735,russian-occupied_territories_of_ukraine,2022_russian_invasion_of_ukraine,link,474
24846489,2023_formula_one_world_championship,2022_russian_invasion_of_ukraine,link,465
24847263,minsk_agreements,2022_russian_invasion_of_ukraine,link,463
24846855,russian_occupation_of_zaporizhzhia_oblast,2022_russian_invasion_of_ukraine,link,461
24849759,international_sanctions_during_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,459
24850247,next_ukrainian_presidential_election,2022_russian_invasion_of_ukraine,link,456
24849265,caesar_self-propelled_howitzer,2022_russian_invasion_of_ukraine,link,452
24846305,donetsk_oblast,2022_russian_invasion_of_ukraine,link,451
24847319,wikipedia_and_the_2022_russian_invasion_of_ukraine,2022_russian_invasion_of_ukraine,link,448
24849011,at4,2022_russian_invasion_of_ukraine,link,447
24848309,luhansk_people's_republic,2022_russian_invasion_of_ukraine,link,445
24846923,international_legion_of_territorial_defence_of_ukraine,2022_russian_invasion_of_ukraine,link,440
24848449,dmitry_utkin,2022_russian_invasion_of_ukraine,link,432
24847339,kharkiv,2022_russian_invasion_of_ukraine,link,426
24850607,timeline_of_the_2022_russian_invasion_of_ukraine:_phase_1,2022_russian_invasion_of_ukraine,link,422
24848405,battle_of_kherson,2022_russian_invasion_of_ukraine,link,418
24847367,emmanuel_macron,2022_russian_invasion_of_ukraine,link,415
24849319,olaf_scholz,2022_russian_invasion_of_ukraine,link,413
24851009,battle_of_siversk,2022_russian_invasion_of_ukraine,link,412
24849655,2022_russia–ukraine_peace_negotiations,2022_russian_invasion_of_ukraine,link,411
24850599,2022–23_ukrainian_premier_league,2022_russian_invasion_of_ukraine,link,408
